Make,AverageHighwayMPG
Acura,31.5
Alfa Romeo,28.5
Aston Martin,19.0
Audi,27.4
BMW,38.22222222222222
Bentley,21.0
Buick,28.0
Cadillac,24.6
Chevrolet,38.0
Chrysler,30.0
Dodge,23.6
Ferrari,19.0
Fiat,55.666666666666664
Ford,34.5
GMC,25.0
Genesis,23.5
Honda,34.333333333333336
Hyundai,60.333333333333336
Infiniti,26.5
Jaguar,29.5
Jeep,24.666666666666668
Kia,43.25
Lamborghini,19.0
Land Rover,24.25
Lexus,28.8
Lincoln,26.5
Lotus,24.0
MINI,33.0
Maserati,22.0
Mazda,34.5
McLaren Automotive,23.0
Mercedes-Benz,35.8
Mitsubishi,50.5
Nissan,38.833333333333336
Porsche,24.666666666666668
Ram,24.5
Rolls-Royce,19.0
Roush Performance,23.0
Subaru,29.333333333333332
Tesla,98.0
Toyota,28.25
Volkswagen,29.333333333333332
Volvo,30.5
smart,39.0
